created,value,europeana_id,upvotes,downvotes,recommendation
27.03.2026,Blue veil,HMT1,2,0,accept
13.02.2026,wedding couple,HMT1,4,2,accept
13.02.2026,halos,HMT1,4,0,accept
13.02.2026,geometric patterns,HMT1,5,0,accept
13.02.2026,mary,HMT1,4,0,accept
13.02.2026,icon,HMT1,6,0,accept
27.03.2026,Jesus Christ,HMT1,3,0,accept
27.03.2026,Sacred heart,HMT1,3,0,accept
13.02.2026,religious icon,HMT1,6,0,accept
27.03.2026,Virgin Mary,HMT1,2,0,accept
27.03.2026,White lily,HMT1,1,0,accept
13.02.2026,decorative wooden border,HMT1,3,0,accept
13.02.2026,heart,HMT1,3,0,accept
13.02.2026,floral background,HMT1,5,0,accept
13.02.2026,jesus,HMT1,3,0,accept
13.02.2026,cross,HMT1,2,1,accept
13.02.2026,sunburst design,HMT1,0,1,reject
13.02.2026,traditional iconographic style,HMT1,0,0,unknown
27.03.2026,pair of icons,HMT1,1,0,accept
13.02.2026,couple,HMT1,0,0,unknown
27.03.2026,Saint Nicholas,HMT2,1,0,accept
13.02.2026,bearded man,HMT2,4,0,accept
13.02.2026,book,HMT2,4,0,accept
13.02.2026,smaller figure on left,HMT2,3,0,accept
13.02.2026,smaller figure on right,HMT2,3,0,accept
13.02.2026,red robes,HMT2,3,0,accept
13.02.2026,icon,HMT2,4,0,accept
13.02.2026,red crown,HMT2,4,0,accept
13.02.2026,hole in background,HMT2,3,0,accept
13.02.2026,clock face,HMT2,1,2,reject
13.02.2026,st. michael,HMT2,3,1,accept
13.02.2026,portrait,KSU1,6,0,accept
13.02.2026,man,KSU1,8,0,accept
27.03.2026,Trees,KSU1,1,0,accept
13.02.2026,dark cloak,KSU1,0,0,unknown
13.02.2026,damage on the right side,KSU1,0,4,reject
13.02.2026,visible signs of age,KSU1,0,0,unknown
13.02.2026,red ribbon,KSU1,5,0,accept
13.02.2026,white fur hat,KSU1,7,0,accept
27.03.2026,Green and checkered sash,KSU1,1,0,accept
13.02.2026,white embroidered shirt,KSU1,8,0,accept
27.03.2026,Path,KSU1,1,0,accept
27.03.2026,Brus Hryhorii,KSU1,1,0,accept
13.02.2026,portrait of a man,KSU1,5,0,accept
13.02.2026,green trousers,KSU1,0,4,reject
13.02.2026,a man,KSU1,5,0,accept
27.03.2026,cummerbund,KSU1,1,0,accept
27.03.2026,Taras Shevchenko,KSU10,0,0,unknown
13.02.2026,signs of age,KSU10,3,0,accept
13.02.2026,taras shevchenko,KSU10,7,0,accept
13.02.2026,blue coat,KSU10,9,0,accept
13.02.2026,white shirt,KSU10,4,0,accept
13.02.2026,painted portrait,KSU10,5,0,accept
13.02.2026,red vest,KSU10,0,5,reject
13.02.2026,portrait of taras shevchenko,KSU10,4,0,accept
13.02.2026,grey mustache,KSU10,7,0,accept
13.02.2026,balding man,KSU10,5,0,accept
13.02.2026,wear,KSU10,0,0,unknown
27.03.2026,White building,KSU11,1,0,accept
27.03.2026,river,KSU11,4,0,accept
13.02.2026,windows,KSU11,4,0,accept
13.02.2026,a village,KSU11,0,0,unknown
13.02.2026,painting,KSU11,6,0,accept
13.02.2026,impressionistic style,KSU11,3,1,accept
13.02.2026,trees,KSU11,6,0,accept
27.03.2026,Moonlight,KSU11,1,0,accept
13.02.2026,moon,KSU11,7,0,accept
13.02.2026,thatched roof,KSU11,7,0,accept
13.02.2026,cottage,KSU11,0,0,unknown
27.03.2026,Oars,KSU11,2,0,accept
13.02.2026,flowers,KSU11,5,0,accept
13.02.2026,shore,KSU11,4,0,accept
13.02.2026,boat,KSU11,6,0,accept
13.02.2026,stones,KSU11,5,0,accept
27.03.2026,Sky,KSU11,2,0,accept
13.02.2026,tall cypress trees,KSU12,0,0,unknown
13.02.2026,painting,KSU12,0,2,reject
13.02.2026,dirt path,KSU12,6,0,accept
13.02.2026,white walls,KSU12,5,0,accept
13.02.2026,thatched roofs,KSU12,7,0,accept
13.02.2026,blue trim,KSU12,0,4,reject
13.02.2026,three houses,KSU12,5,0,accept
13.02.2026,canvas,KSU12,4,0,accept
27.03.2026,Sunset or sunrise,KSU12,1,0,accept
13.02.2026,rural village,KSU12,8,0,accept
13.02.2026,trees,KSU12,8,0,accept
13.02.2026,wooden fence,KSU12,6,0,accept
13.02.2026,a village,KSU12,5,0,accept
27.03.2026,poplar tree,KSU12,2,0,accept
13.02.2026,patterned skirt,KSU13,5,1,accept
13.02.2026,white blouse with red embroidery,KSU13,8,0,accept
13.02.2026,painting,KSU13,7,0,accept
13.02.2026,traditional folk attire,KSU13,8,0,accept
13.02.2026,woman,KSU13,6,0,accept
13.02.2026,signs of age,KSU13,3,1,accept
27.03.2026,Shutenko V.,KSU13,1,0,accept
13.02.2026,wooden well,KSU13,6,0,accept
13.02.2026,near the well,KSU13,4,2,accept
13.02.2026,dark blue bodice,KSU13,4,1,accept
13.02.2026,wear,KSU13,1,3,reject
13.02.2026,rural landscape,KSU13,7,0,accept
13.02.2026,bucket,KSU13,6,1,accept
27.03.2026,Church,KSU14,4,0,accept
13.02.2026,person,KSU14,4,0,accept
13.02.2026,weathered,KSU14,0,3,reject
13.02.2026,horse,KSU14,5,0,accept
13.02.2026,sled,KSU14,5,0,accept
