created,value,europeana_id,upvotes,downvotes,recommendation
13.02.2026,geometric patterns,HMT1,1,0,accept
13.02.2026,icon,HMT1,1,0,accept
13.02.2026,wedding couple,HMT1,1,0,accept
13.02.2026,traditional iconographic style,HMT1,0,0,unknown
13.02.2026,religious icon,HMT1,2,0,accept
13.02.2026,mary,HMT1,1,0,accept
13.02.2026,halos,HMT1,1,0,accept
13.02.2026,jesus,HMT1,1,0,accept
13.02.2026,heart,HMT1,1,0,accept
13.02.2026,sunburst design,HMT1,0,1,reject
13.02.2026,cross,HMT1,1,0,accept
13.02.2026,floral background,HMT1,1,0,accept
13.02.2026,decorative wooden border,HMT1,1,0,accept
13.02.2026,couple,HMT1,1,0,accept
13.02.2026,icon,HMT2,3,0,accept
13.02.2026,book,HMT2,3,0,accept
13.02.2026,smaller figure on left,HMT2,3,0,accept
13.02.2026,smaller figure on right,HMT2,3,0,accept
13.02.2026,red robes,HMT2,3,0,accept
13.02.2026,bearded man,HMT2,3,0,accept
13.02.2026,red crown,HMT2,3,0,accept
13.02.2026,hole in background,HMT2,2,0,accept
13.02.2026,st. michael,HMT2,2,1,accept
13.02.2026,clock face,HMT2,0,2,reject
13.02.2026,portrait,KSU1,2,0,accept
13.02.2026,red ribbon,KSU1,2,0,accept
13.02.2026,portrait of a man,KSU1,2,0,accept
13.02.2026,visible signs of age,KSU1,0,0,unknown
13.02.2026,damage on the right side,KSU1,0,2,reject
13.02.2026,man,KSU1,2,0,accept
13.02.2026,dark cloak,KSU1,0,1,reject
13.02.2026,green trousers,KSU1,0,2,reject
13.02.2026,a man,KSU1,2,0,accept
13.02.2026,white fur hat,KSU1,2,0,accept
13.02.2026,white embroidered shirt,KSU1,2,0,accept
13.02.2026,taras shevchenko,KSU10,2,0,accept
13.02.2026,blue coat,KSU10,3,0,accept
13.02.2026,wear,KSU10,0,0,unknown
13.02.2026,painted portrait,KSU10,2,0,accept
13.02.2026,balding man,KSU10,2,0,accept
13.02.2026,red vest,KSU10,0,2,reject
13.02.2026,grey mustache,KSU10,2,0,accept
13.02.2026,portrait of taras shevchenko,KSU10,2,0,accept
13.02.2026,white shirt,KSU10,2,0,accept
13.02.2026,signs of age,KSU10,2,0,accept
13.02.2026,windows,KSU11,1,0,accept
13.02.2026,cottage,KSU11,0,1,reject
